"code","name","ipo_date","papan_pencatatan","industry"
"DEWI","Dewi Shri Farmindo Tbk.","2022-07-18","Pengembangan","Consumer Non-Cyclicals"
"DFAM","Dafam Property Indonesia Tbk.","2018-04-27","Pengembangan","Consumer Cyclicals"
"DGIK","Nusa Konstruksi Enjiniring Tbk","2007-12-19","Pengembangan","Infrastructure"
"DGNS","Diagnos Laboratorium Utama Tbk","2021-01-15","Pengembangan","Healthcare"
"DIGI","Arkadia Digital Media Tbk.","2018-09-18","Pemantauan Khusus","Consumer Cyclicals"
"DILD","Intiland Development Tbk.","1991-09-04","Utama","Properties & Real Estate"
"DIVA","Distribusi Voucher Nusantara T","2018-11-27","Pengembangan","Technology"
"DKFT","Central Omega Resources Tbk.","1997-11-21","Pengembangan","Basic Materials"
"DLTA","Delta Djakarta Tbk.","1984-02-27","Utama","Consumer Non-Cyclicals"
"DMAS","Puradelta Lestari Tbk.","2015-05-29","Utama","Properties & Real Estate"
"DMMX","Digital Mediatama Maxima Tbk.","2019-10-21","Pengembangan","Technology"
"DMND","Diamond Food Indonesia Tbk.","2020-01-22","Pemantauan Khusus","Consumer Non-Cyclicals"
"DNAR","Bank Oke Indonesia Tbk.","2014-07-11","Pengembangan","Financials"
"DNET","Indoritel Makmur Internasional","2000-12-11","Pengembangan","Financials"
"DOID","Delta Dunia Makmur Tbk.","2001-06-15","Utama","Energy"
"DOOH","Era Media Sejahtera Tbk.","2023-05-08","Pengembangan","Consumer Cyclicals"
"DOSS","Global Sukses Digital Tbk.","2024-08-07","Pengembangan","Consumer Cyclicals"
"DPNS","Duta Pertiwi Nusantara Tbk.","1990-08-08","Pengembangan","Basic Materials"
"DPUM","Dua Putra Utama Makmur Tbk.","2015-12-08","Pemantauan Khusus","Consumer Non-Cyclicals"
"DRMA","Dharma Polimetal Tbk.","2021-12-20","Utama","Consumer Cyclicals"
"DSFI","Dharma Samudera Fishing Indust","2000-03-24","Pengembangan","Consumer Non-Cyclicals"
"DSNG","Dharma Satya Nusantara Tbk.","2013-06-14","Utama","Consumer Non-Cyclicals"
"DSSA","Dian Swastatika Sentosa Tbk","2009-12-10","Utama","Energy"
"PTDU","Djasa Ubersakti Tbk.","2020-12-08","Pemantauan Khusus","Infrastructure"
"DUCK","Jaya Bersama Indo Tbk.","2018-10-10","Pemantauan Khusus","Consumer Cyclicals"
"DUTI","Duta Pertiwi Tbk","1994-11-02","Pemantauan Khusus","Properties & Real Estate"
"DVLA","Darya-Varia Laboratoria Tbk.","1994-11-11","Pengembangan","Healthcare"
"DWGL","Dwi Guna Laksana Tbk.","2017-12-13","Pengembangan","Energy"
"DYAN","Dyandra Media International Tb","2013-03-25","Pengembangan","Industrials"
"EAST","Eastparc Hotel Tbk.","2019-07-09","Pengembangan","Consumer Cyclicals"
"ECII","Electronic City Indonesia Tbk.","2013-07-03","Pengembangan","Consumer Cyclicals"
"EDGE","Indointernet Tbk.","2021-02-08","Pengembangan","Technology"
"EKAD","Ekadharma International Tbk.","1990-08-14","Pengembangan","Basic Materials"
"ELIT","Data Sinergitama Jaya Tbk.","2023-01-06","Pengembangan","Technology"
"ELPI","Pelayaran Nasional Ekalya Purn","2022-08-08","Utama","Transportation & Logistics"
"ELSA","Elnusa Tbk.","2008-02-06","Utama","Energy"
"ELTY","Bakrieland Development Tbk.","1995-10-30","Pemantauan Khusus","Properties & Real Estate"
"EMDE","Megapolitan Developments Tbk.","2011-01-12","Pengembangan","Properties & Real Estate"
"EMTK","Elang Mahkota Teknologi Tbk.","2010-01-12","Utama","Technology"
"ENAK","Champ Resto Indonesia Tbk.","2022-02-08","Pengembangan","Consumer Cyclicals"
"ENRG","Energi Mega Persada Tbk.","2004-06-07","Utama","Energy"
"ENVY","Envy Technologies Indonesia Tb","2019-07-08","Pemantauan Khusus","Technology"
"ENZO","Morenzo Abadi Perkasa Tbk.","2020-09-14","Pemantauan Khusus","Consumer Non-Cyclicals"
"EPAC","Megalestari Epack Sentosaraya","2020-07-01","Pemantauan Khusus","Basic Materials"
"EPMT","Enseval Putera Megatrading Tbk","1994-08-01","Pengembangan","Consumer Non-Cyclicals"
